branch;kdwilayahnominal;kdwilayah;nmwilayahnominal;golongan;c_hold;nominal;inputby;inputdate
SBYNSA;DMK.0001    ;DMK   ;DEMAK 2019;;NO   ;0.00;1116.232            ;2019-07-22 12:09:11
SBYNSA;MGL.0001    ;MGL   ;MAGELANG 2019;;NO   ;0.00;1116.232            ;2019-07-22 12:09:32
SBYNSA;SMG.0001    ;SMG   ;SEMARANG 2019;;NO   ;0.00;1116.232            ;2019-07-22 12:10:03
SBYNSA;SLO.0001    ;SLO   ;SOLO 2019;;NO   ;0.00;1116.232            ;2019-07-22 12:10:21
SBYNSA;JKT.0001    ;JKT   ;JAKARTA 2019;;NO   ;0.00;1116.232            ;2019-07-22 12:11:16
SBYNSA;JOG.0001    ;JOG   ;YOGYAKARTA 2019;;NO   ;0.00;1116.232            ;2019-07-22 12:11:48
SBYNSA;SBY.0001    ;SBY   ;SURABAYA 2019;;NO   ;3500000.00;0917.282            ;2019-07-31 15:36:49
