branch;kdwilayah;nmwilayah;c_hold;inputby;inputdate
SBYNSA;SBY   ;SURABAYA;NO   ;1015.179            ;2019-07-17 15:31:20
SBYNSA;SMG   ;SEMARANG;NO   ;1015.179            ;2019-07-17 15:31:55
SBYNSA;SLO   ;SOLO;NO   ;1015.179            ;2019-07-17 15:32:14
SBYNSA;JOG   ;YOGYAKARTA;NO   ;1015.179            ;2019-07-17 15:32:25
SBYNSA;DMK   ;DEMAK;NO   ;1015.179            ;2019-07-17 15:32:32
SBYNSA;JKT   ;JAKARTA;NO   ;0917.282            ;2019-07-22 10:37:59
SBYNSA;MGL   ;MAGELANG;NO   ;0917.282            ;2019-07-22 10:38:54
